date,lower_ci,upper_ci,median,mean,Date,observed_cases
0,50,50,50,50,2025-03-07,50
1,3,14,8,8.098098098098099,2025-03-08,33
2,3,15,8,8.236,2025-03-09,23
3,3,14.024999999999977,8,8.351,2025-03-10,43
4,3,15,8,8.468,2025-03-11,54
5,3,16,8,8.575,2025-03-12,47
6,3,16,9,8.829,2025-03-13,43
7,3,16,9,8.877,2025-03-14,34
8,3,16,9,8.971971971971971,2025-03-15,39
9,3,17,9,9.081,2025-03-16,28
10,3,17,9,9.145290581162325,2025-03-17,37
11,3,17.024999999999977,9,9.374,2025-03-18,41
12,3,18,9,9.65865865865866,2025-03-19,107
13,3,18,9,9.58,2025-03-20,36
14,3,18,9,9.709,2025-03-21,43
15,3,19,9,9.83,2025-03-22,35
16,3,19,10,10.207,2025-03-23,32
17,3,20,10,10.184,2025-03-24,35
18,3,20,10,10.16,2025-03-25,46
19,3,20,10,10.381763527054108,2025-03-26,44
20,3,21,10,10.592,2025-03-27,27
21,3,20,10,10.673346693386774,2025-03-28,39
22,3,21,10.5,10.943,2025-03-29,21
23,4,21,11,11.038114343029088,2025-03-30,15
24,3,21,10,10.807,2025-03-31,34
25,3,22,11,11.184184184184184,2025-04-01,37
26,3,22,11,11.117117117117116,2025-04-02,38
27,3,23,11,11.268,2025-04-03,33
28,3,22,11,11.386773547094188,2025-04-04,27
29,3,23,11,11.516516516516516,2025-04-05,14
30,4,23,11,11.502004008016032,2025-04-06,28
31,3,22.074999999999932,11,11.531062124248496,2025-04-07,31
32,3,23,12,11.694694694694695,2025-04-08,30
33,3,23,11,11.796184738955823,2025-04-09,35
34,3,23,11,11.761,2025-04-10,31
35,3,23,11,11.683683683683684,2025-04-11,22
36,3,22.024999999999977,11,11.68,2025-04-12,30
37,3,24,11,11.7124248496994,2025-04-13,18
38,3,23.049999999999955,11,11.831831831831831,2025-04-14,31
39,3,23,11,11.795386158475427,2025-04-15,30
40,2,23,11,11.742742742742744,2025-04-16,41
41,3,23,11,11.819,2025-04-17,28
42,3,23,11,11.866733466933868,2025-04-18,27
43,3,24,11,11.784353059177533,2025-04-19,24
44,3,22,12,11.806224899598394,2025-04-20,17
45,3,23,11,11.668341708542714,2025-04-21,24
46,3,24,12,12.011033099297894,2025-04-22,31
47,3,23,11,11.75075075075075,2025-04-23,38
48,3,23.049999999999955,11,11.743743743743744,2025-04-24,37
49,3,22,12,11.858291457286432,2025-04-25,23
50,3,23,11,11.757757757757759,2025-04-26,31
51,3,23,12,11.900502512562815,2025-04-27,23
52,3,24,12,12.071213640922767,2025-04-28,22
53,3,23,11,11.906532663316582,2025-04-29,29
54,2.9250000000000007,24,12,11.89879759519038,2025-04-30,41
55,3,24,11,11.524623115577889,2025-05-01,25
56,3,23,11,11.576032225579054,2025-05-02,29
57,2,24,11,11.63691073219659,2025-05-03,22
58,3,23,11,11.706532663316583,2025-05-04,21
59,2,23,11,11.452261306532664,2025-05-05,40
60,3,22,11,11.346076458752515,2025-05-06,40
