date,lower_ci,upper_ci,median,mean,Date,observed_cases
0,50,50,50,50,2025-03-07,50
1,3,14,8,8.056,2025-03-08,33
2,3,15,8,8.1805,2025-03-09,23
3,3,15,8,8.5015,2025-03-10,43
4,3,15,8,8.5565,2025-03-11,54
5,3,16,8,8.630445668502754,2025-03-12,47
6,3,16,9,8.872436218109055,2025-03-13,43
7,3,17,9,9.0055,2025-03-14,34
8,3,17,9,9.014,2025-03-15,39
9,3,16,9,9.146646646646646,2025-03-16,28
10,3,18,9,9.338,2025-03-17,37
11,3,18,9,9.442,2025-03-18,41
12,3,18,9,9.469234617308654,2025-03-19,107
13,3,18,9,9.656985478217326,2025-03-20,36
14,3,19,9,9.918878317476214,2025-03-21,43
15,3,18,9,9.822,2025-03-22,35
16,3,19,10,10.103603603603604,2025-03-23,32
17,3,19,10,10.173586793396698,2025-03-24,35
18,3,19,10,10.284142071035518,2025-03-25,46
19,4,20,10,10.449724862431216,2025-03-26,44
20,3,20,10,10.566283141570786,2025-03-27,27
21,3,20,10,10.625438157235854,2025-03-28,39
22,3,21,10,10.827413706853427,2025-03-29,21
23,3,21,11,10.9959979989995,2025-03-30,15
24,3,21,10,10.94,2025-03-31,34
25,3,21,11,11.00150225338007,2025-04-01,37
26,3,21.024999999999864,11,11.186,2025-04-02,38
27,3,23,11,11.363727454909819,2025-04-03,33
28,3,22,11,11.18918918918919,2025-04-04,27
29,3,21,11,11.236236236236236,2025-04-05,14
30,3,23,11,11.409227683049147,2025-04-06,28
31,3,23,11,11.556278139069535,2025-04-07,31
32,3,22,11,11.636636636636636,2025-04-08,30
33,3,22,11,11.499,2025-04-09,35
34,3,23,11,11.631315657828914,2025-04-10,31
35,3,23,11,11.706353176588294,2025-04-11,22
36,3,23,11,11.893,2025-04-12,30
37,3,23.075000000000045,11,11.826326326326326,2025-04-13,18
38,3,24,11,12.02153229844767,2025-04-14,31
39,3,24,11,11.817317317317316,2025-04-15,30
40,3,23,11,11.791186780170255,2025-04-16,41
41,3,24,11,11.931465732866434,2025-04-17,28
42,3,23,11,11.917917917917919,2025-04-18,27
43,3,23,11,11.786179268903355,2025-04-19,24
44,3,23,12,11.95941883767535,2025-04-20,17
45,3,24,11,11.942885771543086,2025-04-21,24
46,3,24,12,12.004504504504505,2025-04-22,31
47,3,23,11,11.954454454454455,2025-04-23,38
48,3,24,11,11.805708562844266,2025-04-24,37
49,3,24,11,11.964982491245623,2025-04-25,23
50,3,24,11,11.875312969454182,2025-04-26,31
51,3,23,11,11.870240480961924,2025-04-27,23
52,3,24,11,11.88344172086043,2025-04-28,22
53,3,23,11,11.557393483709273,2025-04-29,29
54,3,23,11,11.690225563909774,2025-04-30,41
55,3,23,11,11.766149223835754,2025-05-01,25
56,3,23,11,11.469939879759519,2025-05-02,29
57,3,23,11,11.561842764146219,2025-05-03,22
58,3,23,11,11.48496993987976,2025-05-04,21
59,3,23,11,11.42434869739479,2025-05-05,40
60,3,23,11,11.40952380952381,2025-05-06,40
