date,lower_ci,upper_ci,median,mean,Date,observed_cases
0,50,50,50,50,2025-03-07,50
1,3,13,7,7.455727863931966,2025-03-08,33
2,3,14,7,7.482724086129194,2025-03-09,23
3,3,14,7,7.463231615807904,2025-03-10,43
4,3,14,7,7.58,2025-03-11,54
5,2,14,7,7.527,2025-03-12,47
6,2,14,7,7.5352676338169085,2025-03-13,43
7,2,14,7,7.533533533533533,2025-03-14,34
8,2,14,7,7.609719438877756,2025-03-15,39
9,3,14,7,7.743871935967984,2025-03-16,28
10,2,15,7,7.629129129129129,2025-03-17,37
11,2,15,7,7.701754385964913,2025-03-18,41
12,2,15,8,7.778056112224449,2025-03-19,107
13,2,15,7,7.71707561342013,2025-03-20,36
14,2,15,7,7.775551102204409,2025-03-21,43
15,2,16,7,7.813720580871307,2025-03-22,35
16,2,16,8,7.88716148445336,2025-03-23,32
17,2,16,7,7.827482447342026,2025-03-24,35
18,2,16,8,7.920260782347041,2025-03-25,46
19,2,16,7,7.888052208835341,2025-03-26,44
20,2,16,7.5,7.823971915747242,2025-03-27,27
21,2,16,8,7.791164658634538,2025-03-28,39
22,2,17,7,7.89904570567554,2025-03-29,21
23,2,16,8,7.941235560020091,2025-03-30,15
24,2,17,8,8.045774647887324,2025-03-31,34
25,2,17,8,7.958835341365462,2025-04-01,37
26,2,16,7,7.9159113796576035,2025-04-02,38
27,2,17,7,7.961189516129032,2025-04-03,33
28,2,17,7,7.897177419354839,2025-04-04,27
29,2,17,7,7.923579688285571,2025-04-05,14
30,2,16.524999999999864,7,7.962121212121212,2025-04-06,28
31,2,17,8,8.065052950075643,2025-04-07,31
32,2,17,7,7.926448362720403,2025-04-08,30
33,2,17,7,7.96969696969697,2025-04-09,35
34,1.5750000000000028,17,7,8.00554435483871,2025-04-10,31
35,2,17,7,7.923502767991947,2025-04-11,22
36,1,17,8,7.998991935483871,2025-04-12,30
37,2,17,7,8.018677435638565,2025-04-13,18
38,1,18,7,7.945904954499494,2025-04-14,31
39,1,18,8,8.08939393939394,2025-04-15,30
40,1,18,7,7.990927419354839,2025-04-16,41
41,1,18,7,7.932828282828283,2025-04-17,28
42,1,18,7,7.926075949367089,2025-04-18,27
43,1,18,7,7.946889226100152,2025-04-19,24
44,1,18,7,7.932151898734177,2025-04-20,17
45,1,18,7,7.9939024390243905,2025-04-21,24
46,1,18,7,7.90122199592668,2025-04-22,31
47,1,18,7,7.822842639593909,2025-04-23,38
48,1,18,7,7.912867274569402,2025-04-24,37
49,1,18,7,7.842587875700459,2025-04-25,23
50,1,18,7,7.86972010178117,2025-04-26,31
51,1,18,7,7.753312945973496,2025-04-27,23
52,1,18,7,7.840816326530613,2025-04-28,22
53,1,18,7,7.769152196118489,2025-04-29,29
54,1,19,7,7.80877103518613,2025-04-30,41
55,1,18,7,7.822564102564103,2025-05-01,25
56,1,18,7,7.699744245524297,2025-05-02,29
57,1,18,7,7.884851586489253,2025-05-03,22
58,1,19,7,7.758196721311475,2025-05-04,21
59,1,19,7,7.730729701952724,2025-05-05,40
60,1,19,7,7.821209016393443,2025-05-06,40
